algorithm,parameters,run_number,final_score,runtime_seconds,iterations,num_evaluations,evals_per_second,best_found_at_iteration,best_found_at_time,orders_completed,completion_rate
TabuSearch,"{'tabu_tenure': 50, 'max_iterations': 5000, 'neighborhood_size': 30, 'time_limit': 60}",4,376.0,39.35962152481079,0,0,0.0,0,39.35962152481079,,
TabuSearch,"{'tabu_tenure': 50, 'max_iterations': 5000, 'neighborhood_size': 30, 'time_limit': 60}",5,376.0,26.68472146987915,1,0,0.0,0,0.006764888763427734,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",1,376.0,1.150951623916626,1,0,0.0,0,0.021225929260253906,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",2,376.0,1.3902735710144043,1,0,0.0,0,0.013833999633789062,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",3,376.0,1.3344895839691162,1,0,0.0,0,0.025615215301513672,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",4,376.0,2.2198851108551025,1,0,0.0,0,0.014885902404785156,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",5,376.0,1.8004732131958008,1,0,0.0,0,0.020131349563598633,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",1,376.0,1.9693856239318848,1,0,0.0,0,0.06664466857910156,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",2,376.0,1.4637019634246826,1,0,0.0,0,0.04898405075073242,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",3,376.0,1.4928092956542969,1,0,0.0,0,0.026953458786010742,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",4,376.0,1.7532620429992676,1,0,0.0,0,0.0380253791809082,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",5,376.0,1.9127802848815918,1,0,0.0,0,0.04138374328613281,,
