algorithm,Mean,Std,Median,Min,Max,Q1,Q3,Count,CV,IQR
GreedyPriorityBased,89157.0,,89157.0,89157,89157,89157.0,89157.0,1,,0.0
TabuSearch,88872.5,194.76832391331047,88891.5,88639,89189,88744.0,88919.75,6,0.002191547710633884,175.75
SimulatedAnnealing,88696.16666666667,177.99260284255402,88754.5,88373,88856,88648.75,88807.75,6,0.0020067677052095743,159.0
HillClimbing,88585.83333333333,266.0905234439334,88595.0,88180,88906,88459.25,88767.5,6,0.0030037593307124027,308.25
GreedySpatialClustering,81687.0,,81687.0,81687,81687,81687.0,81687.0,1,,0.0
GeneticAlgorithm,0.0,0.0,0.0,0,0,0.0,0.0,6,0.0,0.0
