algorithm,parameters,run_number,final_score,runtime_seconds,iterations,num_evaluations,evals_per_second,best_found_at_iteration,best_found_at_time,orders_completed,completion_rate
TabuSearch,"{'tabu_tenure': 50, 'max_iterations': 5000, 'neighborhood_size': 30, 'time_limit': 60}",5,71977,62.16797471046448,25,0,0.0,24,62.16691493988037,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",1,0,0.0004639625549316406,0,0,0.0,0,0.0004639625549316406,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",2,0,0.00026488304138183594,0,0,0.0,0,0.00026488304138183594,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",3,0,0.000507354736328125,0,0,0.0,0,0.000507354736328125,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",4,0,0.00025963783264160156,0,0,0.0,0,0.00025963783264160156,,
GeneticAlgorithm,"{'population_size': 50, 'generations': 100, 'mutation_rate': 0.2, 'crossover_rate': 0.8, 'time_limit': 60}",5,0,0.000244140625,0,0,0.0,0,0.000244140625,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",1,0,0.0002491474151611328,0,0,0.0,0,0.0002491474151611328,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",2,0,0.0002772808074951172,0,0,0.0,0,0.0002772808074951172,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",3,0,0.000202178955078125,0,0,0.0,0,0.000202178955078125,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",4,0,0.0001957416534423828,0,0,0.0,0,0.0001957416534423828,,
GeneticAlgorithm,"{'population_size': 100, 'generations': 50, 'mutation_rate': 0.15, 'crossover_rate': 0.9, 'time_limit': 60}",5,0,0.00079345703125,0,0,0.0,0,0.00079345703125,,
