algorithm,Mean,Std,Median,Min,Max,Q1,Q3,Count,CV,IQR
TabuSearch,71924.4,60.21111008591265,71917.0,71807,72025,71898.75,71965.0,10,0.0008371444195003603,66.25
GreedyPriorityBased,71800.0,,71800.0,71800,71800,71800.0,71800.0,1,,0.0
SimulatedAnnealing,71718.2,46.74469666889203,71731.0,71653,71798,71679.5,71745.75,10,0.0006517829040451574,66.25
HillClimbing,71703.4,65.64077323669422,71737.5,71580,71757,71685.25,71750.0,10,0.0009154485454900914,64.75
GreedySpatialClustering,70837.0,,70837.0,70837,70837,70837.0,70837.0,1,,0.0
GeneticAlgorithm,0.0,0.0,0.0,0,0,0.0,0.0,10,0.0,0.0
